year,week,outbreak_starting_date,reporting_date,state,district,status,cases,deaths,note,disease,is_respiratory,location_corrected
2025,15,2025-04-11,2025-04-11,goa,south goa,reported,43,0,,food poisoning,False,False
2025,15,2025-04-10,2025-04-11,gujarat,bhavnagar,reported,20,0,,acute gastroenteritis,False,False
2025,15,2025-04-12,2025-04-13,gujarat,navsari,reported,120,0,,food poisoning,False,False
2025,15,2025-04-09,2025-04-10,gujarat,surat,reported,118,0,,acute diarrheal disease,False,False
2025,15,2025-04-12,2025-04-12,jammu and kashmir,kulgam,reported,11,0,,hepatitis a,False,False
2025,15,2025-04-07,2025-04-08,jharkhand,dhanbad,reported,9,0,,chickenpox,False,False
2025,15,2025-04-05,2025-04-07,jharkhand,godda,reported,3,0,,measles,False,False
2025,15,2025-04-11,2025-04-11,jharkhand,jamtara,reported,5,0,,chickenpox,False,False
2025,15,2025-04-09,2025-04-09,jharkhand,latehar,reported,26,0,,scrub typhus,False,False
2025,15,2025-04-09,2025-04-11,karnataka,raichur,reported,19,0,,food poisoning,False,False
2025,15,2025-04-10,2025-04-10,kerala,ernakulam,reported,17,0,,typhoid,False,False
2025,15,2025-04-09,2025-04-10,kerala,kasaragod,reported,73,0,,hepatitis a,False,False
2025,15,2025-04-09,2025-04-09,kerala,kasaragod,reported,225,0,,food poisoning,False,False
2025,15,2025-04-10,2025-04-10,kerala,kottayam,reported,16,0,,hepatitis a,False,False
2025,15,2025-04-11,2025-04-11,kerala,malappuram,reported,26,0,,food poisoning,False,False
2025,15,2025-04-11,2025-04-11,kerala,malappuram,reported,18,0,,food poisoning,False,False
2025,15,2025-04-09,2025-04-09,kerala,palakkad,reported,18,0,,food poisoning,False,False
2025,15,2025-04-13,2025-04-13,madhya pradesh,niwari,reported,5,0,,chickenpox,False,False
2025,15,2025-04-12,2025-04-13,madhya pradesh,ratlam,reported,15,0,,acute diarrheal disease,False,False
2025,15,2025-04-07,2025-04-08,maharashtra,amravati,reported,11,0,,acute diarrheal disease,False,False
2025,15,2025-04-07,2025-04-08,maharashtra,dharashiv,reported,11,0,,chikungunya,False,False
2025,15,2025-04-05,2025-04-07,maharashtra,gondia,reported,60,0,,food poisoning,False,False
2025,15,2025-04-10,2025-04-11,meghalaya,ri bhoi,reported,30,0,,chickenpox,False,False
2025,15,2025-04-06,2025-04-07,odisha,ganjam,reported,14,0,,measles,False,False
2025,15,2025-04-12,2025-04-13,odisha,khordha,reported,142,0,,acute diarrheal disease,False,False
2025,15,2025-04-09,2025-04-09,sikkim,gyalshing,reported,7,0,,acute diarrheal disease,False,False
2025,15,2025-04-12,2025-04-12,tamil nadu,erode,reported,13,0,,mumps,False,False
2025,15,2025-04-08,2025-04-08,tamil nadu,pudukkottai,reported,93,0,,acute diarrheal disease,False,False
2025,15,2025-04-11,2025-04-12,tamil nadu,sivaganga,reported,10,0,,hepatitis a,False,False
2025,15,2025-04-09,2025-04-12,tamil nadu,tenkasi,reported,8,0,,hepatitis a and e,False,False
2025,15,2025-04-08,2025-04-09,tamil nadu,thanjavur,reported,99,0,,acute diarrheal disease,False,False
2025,15,2025-04-08,2025-04-11,uttar pradesh,gautam buddha nagar,reported,100,0,,acute diarrheal disease,False,False
2025,15,2025-04-05,2025-04-08,uttarakhand,dehradun,reported late,8,0,,hepatitis a,False,False
2025,15,2025-03-24,,andhra pradesh,konaseema,reported late,306,0,,hepatitis b and c,False,False
2025,15,2025-03-11,,jammu and kashmir,shopian,reported late,7,0,,hepatitis a,False,False
2025,15,2025-03-13,,meghalaya,north garo hills,reported late,15,0,,typhoid,False,False
2025,14,2025-04-05,2025-04-05,assam,biswanath,reported,18,0,,food poisoning,False,False
2025,14,2025-04-03,2025-04-04,bihar,aurangabad,reported,21,0,,fever with rash,False,False
2025,14,2025-03-31,2025-04-04,bihar,madhubani,reported,14,0,,chickenpox,False,False
2025,14,2025-04-03,2025-04-04,gujarat,bhavnagar,reported,20,0,,food poisoning,False,False
2025,14,2025-04-01,2025-04-01,gujarat,vadodara,reported,20,0,,acute diarrheal disease,False,False
2025,14,2025-03-31,2025-03-31,haryana,yamunanagar,reported,104,0,,food poisoning,False,False
2025,14,2025-04-05,2025-04-05,jharkhand,east singhbum,reported,8,0,,chickenpox,False,False
2025,14,2025-04-03,2025-04-03,jharkhand,giridih,reported,13,0,,chickenpox,False,False
2025,14,2025-04-04,2025-04-04,karnataka,chikballapur,reported,8,0,,hepatitis a,False,False
2025,14,2025-03-31,2025-04-04,kerala,kottayam,reported,22,0,,food poisoning,False,False
2025,14,2025-04-04,2025-04-05,kerala,palakkad,reported,1,0,,leishmaniasis,False,False
2025,14,2025-04-03,2025-04-03,kerala,palakkad,reported,27,0,,hepatitis a,False,False
2025,14,2025-04-04,2025-04-04,kerala,pathanamthitta,reported,43,0,,food poisoning,False,False
2025,14,2025-03-30,2025-04-02,kerala,thrissur,reported,78,0,,acute diarrheal disease,False,False
2025,14,2025-04-01,2025-04-01,madhya pradesh,rewa,reported,19,0,,acute diarrheal disease,False,False
2025,14,2025-04-04,2025-04-04,meghalaya,north garo hills,reported,12,0,,measles,False,False
2025,14,2025-03-30,2025-03-31,meghalaya,west jaintia hills,reported,32,0,,food poisoning,False,False
2025,14,2025-04-04,2025-04-04,odisha,anugul,reported,81,0,,acute diarrheal disease,False,False
2025,14,2025-04-03,2025-04-04,odisha,bhadrak,reported,5,0,,hepatitis a,False,False
2025,14,2025-04-03,2025-04-04,odisha,mayurbhanj,reported,66,0,,food poisoning,False,False
2025,14,2025-04-04,2025-04-05,odisha,sambalpur,reported,24,0,,acute diarrheal disease,False,False
2025,14,2025-04-03,2025-04-03,puducherry,pondicherry,reported,20,0,,typhoid,False,False
2025,14,2025-04-04,2025-04-05,tamil nadu,erode,reported,5,0,,mumps,False,False
2025,14,2025-04-02,2025-04-03,tamil nadu,kallakurichi,reported,24,0,,hepatitis a,False,False
2025,14,2025-04-02,2025-04-02,tamil nadu,kallakurichi,reported,11,0,,chickenpox,False,False
2025,14,2025-04-01,2025-04-02,tamil nadu,sivaganga,reported,12,0,,mumps,False,False
2025,14,2025-03-29,2025-03-31,tamil nadu,sivaganga,reported,5,0,,hepatitis a,False,False
2025,14,2025-04-04,2025-04-05,tamil nadu,thiruvallur,reported,11,0,,dengue,False,False
2025,14,2025-04-05,2025-04-05,tamil nadu,tiruchirappalli,reported,7,0,,mumps,False,False
2025,14,2025-04-02,2025-04-03,tamil nadu,virudhunagar,reported,21,0,,hepatitis a,False,False
2025,14,2025-03-31,2025-04-01,uttarakhand,dehradun,reported,383,0,,food poisoning,False,False
2025,14,2025-03-31,2025-04-03,uttarakhand,haridwar,reported,34,0,,food poisoning,False,False
2025,14,2025-04-02,2025-04-02,west bengal,purba barshaman,reported,23,0,,acute diarrheal disease,False,False
2025,14,2025-01-30,,bihar,purbi champaran,reported late,6,0,,fever with rash,False,False
2025,14,2025-03-27,,manipur,churachandpur,reported late,3,3,,human rabies,False,False
2025,14,2025-03-27,,odisha,koraput,reported late,21,0,,measles,False,False
2025,14,2025-03-15,,uttar pradesh,agra,reported late,25,0,,measles,False,False
2025,13,2025-03-29,2025-03-29,assam,jorhat,reported,13,0,,acute diarrheal disease,False,False
2025,13,2025-03-29,2025-03-29,assam,lakhimpur,reported,38,0,,food poisoning,False,False
2025,13,2025-03-20,2025-03-24,bihar,sitamarhi,reported,40,0,,food poisoning,False,False
2025,13,2025-03-22,2025-03-26,chhattisgarh,raipur,reported,13,0,,typhoid,False,False
2025,13,2025-03-25,2025-03-25,gujarat,anand,reported,49,0,,hepatitis a,False,False
2025,13,2025-03-27,2025-03-28,haryana,kurukshetra,reported,12,0,,acute diarrheal disease,False,False
2025,13,2025-03-22,2025-03-24,jammu and kashmir,ganderbal,reported,12,0,,hepatitis a,False,False
2025,13,2025-03-27,2025-03-27,jammu and kashmir,kulgam,reported,11,0,,hepatitis a,False,False
2025,13,2025-03-26,2025-03-26,jharkhand,bokaro,reported,6,0,,fever with rash,False,False
2025,13,2025-03-23,2025-03-24,jharkhand,dumka,reported,7,0,,chickenpox,False,False
2025,13,2025-03-27,2025-03-28,jharkhand,east singhbhum,reported,5,0,,chickenpox,False,False
2025,13,2025-03-25,2025-03-26,jharkhand,khunti,reported,3,0,,chickenpox,False,False
2025,13,2025-03-24,2025-03-24,jharkhand,khunti,reported,12,0,,chickenpox,False,False
2025,13,2025-03-25,2025-03-27,jharkhand,ranchi,reported,5,0,,chickenpox,False,False
2025,13,2025-03-28,2025-03-28,jharkhand,west singhbhum,reported,20,0,,acute diarrheal disease,False,False
2025,13,2025-03-26,2025-03-26,kerala,ernakulam,reported,16,0,,acute diarrheal disease,False,False
2025,13,2025-03-27,2025-03-27,kerala,idukki,reported,55,0,,food poisoning,False,False
2025,13,2025-03-26,2025-03-27,kerala,idukki,reported,42,0,,acute diarrheal disease,False,False
2025,13,2025-03-21,2025-03-26,kerala,kannur,reported,35,0,,hepatitis a,False,False
2025,13,2025-03-26,2025-03-26,kerala,kannur,reported,29,0,,hepatitis a,False,False
2025,13,2025-02-27,2025-03-27,kerala,kozhikode,reported,2,1,,west nile fever,False,False
2025,13,2025-03-24,2025-03-26,kerala,thrissur,reported,17,0,,dengue,False,False
2025,13,2025-03-22,2025-03-24,kerala,wayanad,reported,16,0,,acute diarrheal disease,False,False
2025,13,2025-03-27,2025-03-27,madhya pradesh,damoh,reported,36,0,,measles,False,False
2025,13,2025-03-25,2025-03-25,madhya pradesh,narsinghpur,reported,7,0,,chickenpox,False,False
2025,13,2025-03-26,2025-03-27,odisha,khordha,reported,0,0,,hepatitis a,False,False
2025,13,2025-03-27,2025-03-29,tamil nadu,coimbatore,reported,22,0,,chickenpox,False,False
2025,13,2025-03-30,2025-03-30,tamil nadu,dharmapuri,reported,18,0,,chickenpox,False,False
2025,13,2025-03-28,2025-03-29,tamil nadu,dindigul,reported,51,0,,acute diarrheal disease,False,False
2025,13,2025-03-24,2025-03-25,tamil nadu,dindigul,reported,10,0,,chickenpox,False,False
2025,13,2025-03-23,2025-03-25,tamil nadu,kanniyakumari,reported,18,0,,food poisoning,False,False
2025,13,2025-03-27,2025-03-28,tamil nadu,theni,reported,6,0,,chickenpox,False,False
2025,13,2025-03-22,2025-03-28,west bengal,hooghly,reported,18,0,,typhoid,False,False
2025,13,2025-01-27,,andhra pradesh,guntur,reported late,18,0,,cholera,False,False
2025,13,2025-03-14,,chhattisgarh,bilaspur,reported late,31,0,,measles,False,False
2025,13,2025-02-27,,jharkhand,giridih,reported late,7,0,,chickenpox,False,False
2025,13,2025-02-24,,madhya pradesh,rewa,reported late,17,0,,scrub typhus,False,False
2025,13,2025-03-18,,madhya pradesh,shivpuri,reported late,6,0,,measles,False,False
2025,13,2025-03-18,,manipur,ukhrul,reported late,37,0,,measles,False,False
2025,13,2025-03-18,,meghalaya,south west garo hills,reported late,3,0,,chickenpox,False,False
2025,12,2025-03-18,2025-03-18,assam,bongaigaon,reported,8,0,,chickenpox,False,False
2025,12,2025-03-20,2025-03-21,bihar,begusarai,reported,32,0,,fever with rash,False,False
2025,12,2025-03-21,2025-03-21,bihar,begusarai,reported,10,0,,fever with rash,False,False
2025,12,2025-03-18,2025-03-20,chhattisgarh,raipur,reported,11,0,,typhoid,False,False
2025,12,2025-03-17,2025-03-17,gujarat,ahmedabad,reported,71,0,,cholera,False,False
2025,12,2025-03-18,2025-03-18,gujarat,jamnagar,reported,4,0,,measles,False,False
2025,12,2025-03-16,2025-03-17,gujarat,patan,reported,10,0,,hepatitis a,False,False
2025,12,2025-03-22,2025-03-22,jammu and kashmir,jammu,reported,1,1,,hmpv,False,False
2025,12,2025-03-15,2025-03-22,jammu and kashmir,jammu,reported,10,0,,hepatitis a,False,False
2025,12,2025-03-17,2025-03-18,jharkhand,dumka,reported,18,0,,chickenpox,False,False
2025,12,2025-03-22,2025-03-23,jharkhand,east singhbhum,reported,14,0,,chickenpox,False,False
2025,12,2025-03-23,2025-03-23,jharkhand,sahebganj,reported,67,0,,malaria,False,False
2025,12,2025-03-16,2025-03-19,karnataka,chitradurga,reported,40,0,,food poisoning,False,False
2025,12,2025-03-17,2025-03-18,karnataka,davangere,reported,24,0,,food poisoning,False,False
2025,12,2025-03-18,2025-03-18,karnataka,hassan,reported,11,0,,acute diarrheal disease,False,False
2025,12,2025-03-16,2025-03-17,karnataka,mandya,reported,128,2,,food poisoning,False,False
2025,12,2025-03-21,2025-03-23,kerala,ernakulam,reported,18,0,,chickenpox,False,False
2025,12,2025-03-15,2025-03-22,kerala,kannur,reported,40,0,,hepatitis a,False,False
2025,12,2025-03-14,2025-03-18,kerala,kannur,reported,39,0,,hepatitis a,False,False
2025,12,2025-03-15,2025-03-21,kerala,kottayam,reported,9,0,,hepatitis a,False,False
2025,12,2025-03-17,2025-03-19,kerala,kottayam,reported,28,0,,acute diarrheal disease,False,False
2025,12,2025-03-13,2025-03-18,kerala,kottayam,reported,21,0,,hepatitis a,False,False
2025,12,2025-03-15,2025-03-17,kerala,kottayam,reported,56,0,,acute diarrheal disease,False,False
2025,12,2025-03-17,2025-03-20,kerala,malappuram,reported,1,0,,mpox,False,False
2025,12,2025-03-18,2025-03-18,kerala,wayanad,reported,42,0,,hepatitis a,False,False
2025,12,2025-03-13,2025-03-18,madhya pradesh,narsinghpur,reported,4,0,,mumps,False,False
2025,12,2025-03-17,2025-03-17,maharashtra,kolhapur,reported,15,1,,hepatitis a,False,False
2025,12,2025-03-21,2025-03-22,manipur,senapati,reported,52,0,,others,False,False
2025,12,2025-03-16,2025-03-21,meghalaya,west khasi hills,reported,1,1,,human rabies,False,False
2025,12,2025-03-20,2025-03-20,tamil nadu,salem,reported,10,0,,mumps,False,False
2025,12,2025-03-23,2025-03-23,tamil nadu,tenkasi,reported,13,0,,hepatitis a and e,False,False
2025,12,2025-03-21,2025-03-22,tamil nadu,tenkasi,reported,9,0,,hepatitis a and e,False,False
2025,12,2025-03-19,2025-03-23,tamil nadu,theni,reported,6,0,,chickenpox,False,False
2025,12,2025-03-20,2025-03-20,uttarakhand,dehradun,reported,12,0,,hepatitis a,False,False
2025,12,2025-03-22,2025-03-22,west bengal,24 paraganas south,reported,97,0,,food poisoning,False,False
2025,12,2025-03-19,2025-03-21,west bengal,howrah,reported,19,0,,chickenpox,False,False
2025,12,2025-03-17,2025-03-17,west bengal,medinipur east,reported,80,0,,food poisoning,False,False
2025,12,2025-03-20,2025-03-21,west bengal,medinipur west,reported,35,0,,acute gastroenteritis,False,False
2025,12,2025-03-19,2025-03-20,west bengal,purba bardhaman,reported,15,0,,acute diarrheal disease,False,False
2025,12,2025-03-11,,assam,tamulpur,reported late,1,1,,human rabies,False,False
2025,12,2025-03-06,,jharkhand,ranchi,reported late,6,0,,measles,False,False
2025,12,2025-03-07,,madhya pradesh,bhopal,reported late,7,0,,measles,False,False
2025,12,2025-02-20,,sikkim,gyalshing,reported late,19,0,,typhoid,False,False
2025,11,2025-03-08,2025-03-13,andhra pradesh,parvathipuram manyam,reported,19,0,,acute diarrheal disease,False,False
2025,11,2025-03-11,2025-03-11,assam,barpeta,reported,29,0,,fever,False,False
2025,11,2025-03-10,2025-03-11,assam,charaideo,reported,4,0,,mumps,False,False
2025,11,2025-03-13,2025-03-13,assam,hailakandi,reported,15,0,,fever with rash,False,False
2025,11,2025-03-07,2025-03-10,bihar,purnia,reported,8,0,,acute diarrheal disease,False,False
2025,11,2025-03-10,2025-03-10,gujarat,sabarkantha,reported,7,0,,fever with rash,False,False
2025,11,2025-03-11,2025-03-11,jammu and kashmir,badgam,reported,1,1,,human rabies,False,False
2025,11,2025-03-09,2025-03-10,jharkhand,dumka,reported,8,0,,fever with rash,False,False
2025,11,2025-03-11,2025-03-11,jharkhand,east singhbum,reported,25,0,,chickenpox,False,False
2025,11,2025-03-10,2025-03-10,jharkhand,east singhbum,reported,22,0,,chickenpox,False,False
2025,11,2025-03-11,2025-03-11,jharkhand,khunti,reported,25,0,,chickenpox,False,False
2025,11,2025-03-13,2025-03-13,karnataka,belagavi,reported,16,0,,hepatitis a,False,False
2025,11,2025-03-13,2025-03-13,karnataka,chikballapur,reported,21,0,,acute diarrheal disease,False,False
2025,11,2025-03-10,2025-03-10,karnataka,chikballapur,reported,12,0,,acute diarrheal disease,False,False
2025,11,2025-03-07,2025-03-10,karnataka,hassan,reported,14,0,,food poisoning,False,False
2025,11,2025-03-11,2025-03-13,kerala,ernakulam,reported,5,0,,meningitis,False,False
2025,11,2025-03-14,2025-03-14,kerala,kozhikode,reported,58,0,,hepatitis a,False,False
2025,11,2025-03-13,2025-03-13,kerala,palakkad,reported,152,0,,food poisoning,False,False
2025,11,2025-03-08,2025-03-10,kerala,palakkad,reported,10,0,,acute diarrheal disease,False,False
2025,11,2025-03-12,2025-03-12,madhya pradesh,datia,reported,51,0,,food poisoning,False,False
2025,11,2025-03-12,2025-03-12,madhya pradesh,dindori,reported,9,0,,malaria,False,False
2025,11,2025-03-10,2025-03-10,madhya pradesh,gwalior,reported,5,0,,measles,False,False
2025,11,2025-03-12,2025-03-12,maharashtra,bhandara,reported,24,0,,acute diarrheal disease,False,False
2025,11,2025-03-10,2025-03-10,maharashtra,bhandara,reported,13,0,,fever with rash,False,False
2025,11,2025-03-10,2025-03-13,maharashtra,jalgaon,reported,3,0,,measles,False,False
2025,11,2025-03-10,2025-03-10,nagaland,dimapur,reported,1,1,,human rabies,False,False
2025,11,2025-03-07,2025-03-10,punjab,sri muktsar sahib,reported,27,0,,chickenpox,False,False
2025,11,2025-03-10,2025-03-10,rajasthan,jalore,reported,22,0,,food poisoning,False,False
2025,11,2025-03-12,2025-03-12,tamil nadu,coimbatore,reported,15,0,,chickenpox,False,False
2025,11,2025-03-10,2025-03-11,tamil nadu,mayiladuthurai,reported,20,0,,mumps,False,False
2025,11,2025-03-14,2025-03-15,tamil nadu,ranipet,reported,1,1,,human rabies,False,False
2025,11,2025-03-08,2025-03-10,tamil nadu,tirupathur,reported,15,0,,chickenpox,False,False
2025,11,2025-03-13,2025-03-13,tripura,south tripura,reported,85,0,,food poisoning,False,False
2025,11,2025-03-11,2025-03-13,west bengal,howrah,reported,22,0,,hepatitis a,False,False
2025,11,2025-03-12,2025-03-12,west bengal,medinipur east,reported,59,0,,acute diarrheal disease,False,False
2025,11,2025-03-11,2025-03-13,west bengal,medinipur west,reported,14,0,,acute diarrheal disease,False,False
2025,11,2025-03-07,2025-03-11,west bengal,paschim bardhaman,reported,42,0,,hepatitis a,False,False
2025,11,2025-03-06,,bihar,munger,reported,9,0,,fever with rash,False,False
2025,11,2025-02-13,,karnataka,bagalkot,reported,7,0,,chickenpox,False,False
2025,11,2025-03-05,,kerala,alappuzha,reported,1,0,,mpox,False,False
2025,11,2025-03-06,,kerala,kottayam,reported,17,0,,mumps,False,False
2025,11,2025-02-27,,mizoram,lawngtlai,reported,4,0,,measles,False,False
2025,11,2025-02-10,,odisha,malkangiri,reported,30,0,,food poisoning,False,False
2025,10,2025-02-28,2025-03-03,andhra pradesh,nandyal,reported,19,2,,acute diarrheal disease,False,False
2025,10,2025-03-06,2025-03-06,assam,bongaigaon,reported,5,0,,acute diarrheal disease,False,False
2025,10,2025-03-07,2025-03-07,assam,nagaon,reported,1,1,,human rabies,False,False
2025,10,2025-03-04,2025-03-05,assam,nagaon,reported,1,1,,human rabies,False,False
2025,10,2025-02-28,2025-03-03,bihar,jehanabad,reported,11,0,,chickenpox,False,False
2025,10,2025-02-05,2025-03-06,bihar,samastipur,reported,7,0,,fever with rash,False,False
2025,10,2025-03-08,2025-03-09,bihar,vaishali,reported,8,0,,fever with rash,False,False
2025,10,2025-03-07,2025-03-07,chhattisgarh,dantewada,reported,11,0,,food poisoning,False,False
2025,10,2025-02-03,2025-03-03,chhattisgarh,durg,reported,71,0,,jaundice,False,False
2025,10,2025-03-06,2025-03-07,chhattisgarh,surguja,reported,10,0,,food poisoning,False,False
2025,10,2025-03-01,2025-03-03,gujarat,kachchh,reported,12,0,,acute diarrheal disease,False,False
2025,10,2025-03-07,2025-03-08,gujarat,panchmahals,reported,16,0,,acute hepatitis a,False,False
2025,10,2025-03-04,2025-03-04,jammu and kashmir,badgam,reported,1,1,,rabies,False,False
2025,10,2025-03-03,2025-03-03,jharkhand,latehar,reported,30,0,,paratyphoid,False,False
2025,10,2025-03-03,2025-03-03,jharkhand,latehar,reported,68,0,,paratyphoid,False,False
2025,10,2025-03-08,2025-03-08,jharkhand,west singhbhum,reported,9,0,,fever with rash,False,False
2025,10,2025-03-06,2025-03-06,karnataka,dakshin kannad,reported,57,0,,nan,False,False
2025,10,2025-03-03,2025-03-03,karnataka,mandya,reported,39,0,,cholera,False,False
2025,10,2025-03-08,2025-03-08,kerala,ernakulam,reported,9,0,,dengue,False,False
2025,10,2025-02-28,2025-03-03,kerala,ernakulam,reported,9,0,,acute gastroenteritis,False,False
2025,10,2025-03-06,2025-03-06,kerala,palakkad,reported,45,0,,hepatitis a,False,False
2025,10,2025-03-07,2025-03-09,kerala,pathanamthitta,reported,102,0,,acute gastroenteritis,False,False
2025,10,2025-03-05,2025-03-05,kerala,pathanamthitta,reported,17,0,,mumps,False,False
2025,10,2025-03-04,2025-03-05,kerala,thrissur,reported,17,0,,acute hepatitis a,False,False
2025,10,2025-03-04,2025-03-06,kerala,wayanad,reported,6,0,,chickenpox,False,False
2025,10,2025-02-27,2025-03-03,madhya pradesh,chhatarpur,reported,5,0,,measles,False,False
2025,10,2025-03-07,2025-03-07,madhya pradesh,gwalior,reported,2,2,,dengue,False,False
2025,10,2025-03-07,2025-03-07,maharashtra,latur,reported,22,0,,chickenpox,False,False
2025,10,2025-02-27,2025-03-03,maharashtra,nagpur,reported,109,0,,acute diarrheal disease,False,False
2025,10,2025-03-02,2025-03-03,maharashtra,nagpur,reported,61,0,,acute diarrheal disease,False,False
2025,10,2025-03-07,2025-03-07,maharashtra,washim,reported,7,0,,chikungunya,False,False
2025,10,2025-02-24,2025-03-03,meghalaya,west khasi hills,reported,1,1,,nan,False,False
2025,10,2025-03-03,2025-03-05,odisha,ganjam,reported,39,0,,cholera,False,False
2025,10,2025-03-05,2025-03-06,odisha,kendujhar,reported,10,1,,acute diarrheal disease,False,False
2025,10,2025-02-28,2025-03-04,rajasthan,jaipur,reported,37,0,,food poisoning,False,False
2025,10,2025-03-08,2025-03-08,tamil nadu,coimbatore,reported,12,0,,chickenpox,False,False
2025,10,2025-03-07,2025-03-08,tamil nadu,coimbatore,reported,21,0,,mumps,False,False
2025,10,2025-03-07,2025-03-07,tamil nadu,mayiladuthurai,reported,6,0,,mumps,False,False
2025,10,2025-03-05,2025-03-05,tamil nadu,mayiladuthurai,reported,4,0,,mumps,False,False
2025,10,2025-03-03,2025-03-03,tamil nadu,pudukkottai,reported,6,0,,mumps,False,False
2025,10,2025-03-03,2025-03-03,tamil nadu,ramanathapuram,reported,9,0,,mumps,False,False
2025,10,2025-03-08,2025-03-08,tamil nadu,tenkasi,reported,7,0,,acute hepatitis e,False,False
2025,10,2025-03-01,2025-03-03,tamil nadu,thanjavur,reported,20,0,,chickenpox,False,False
2025,10,2025-03-07,2025-03-07,tamil nadu,vellore,reported,1,0,,pertussis,False,False
2025,10,2025-02-28,2025-03-05,uttar pradesh,mirzapur,reported,29,0,,acute diarrheal disease,False,False
2025,10,2025-03-05,2025-03-06,west bengal,birbhum,reported,278,0,,acute gastroenteritis,False,False
2025,10,2025-03-03,2025-03-05,west bengal,birbhum,reported,22,0,,acute diarrheal disease,False,False
2025,10,2025-03-04,2025-03-04,west bengal,birbhum,reported,96,0,,acute diarrheal disease,False,False
